epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,469.952,1.24042,3.89139,1.48113,0.43876,0.30401,0.28014,0.14954,1.68124,3.17647,1.67392,0.000207602,0.000207602,0.000207602
2,794.137,1.3371,2.56371,1.57724,0.44456,0.33233,0.2951,0.15495,1.76037,2.94937,1.70425,0.0004077,0.0004077,0.0004077
3,949.094,1.32823,2.32802,1.56549,0.34507,0.27745,0.2174,0.11006,1.87625,3.28018,1.92241,0.000599548,0.000599548,0.000599548
4,1109.62,1.34832,2.24789,1.56986,0.43494,0.32007,0.2834,0.15094,1.84852,2.95927,1.86007,0.000587875,0.000587875,0.000587875
5,1494.4,1.3369,2.09849,1.54506,0.41456,0.26414,0.25015,0.13653,1.84822,3.04808,1.88055,0.0005755,0.0005755,0.0005755
6,1971.25,1.28249,1.97545,1.49564,0.54209,0.30904,0.31656,0.17475,1.79188,2.96283,1.8101,0.000563125,0.000563125,0.000563125
7,2436.08,1.25795,1.86708,1.48083,0.48836,0.31062,0.29445,0.14939,1.87511,2.99328,1.88681,0.00055075,0.00055075,0.00055075
8,2926.66,1.23943,1.8214,1.47137,0.53084,0.33217,0.3393,0.19236,1.78022,2.84827,1.76182,0.000538375,0.000538375,0.000538375
9,3399.77,1.17629,1.71951,1.44281,0.52568,0.3505,0.35837,0.20587,1.76701,2.7551,1.74844,0.000526,0.000526,0.000526
10,3790.17,1.1861,1.66803,1.42305,0.51933,0.3426,0.32523,0.18292,1.80946,2.83308,1.78874,0.000513625,0.000513625,0.000513625
11,3947.74,1.18745,1.6151,1.42285,0.51915,0.33769,0.33066,0.18354,1.81123,2.89389,1.79094,0.00050125,0.00050125,0.00050125
12,168.244,1.16597,1.59649,1.41212,0.57372,0.3415,0.36592,0.20909,1.75628,2.68859,1.76897,0.000488875,0.000488875,0.000488875
13,359.69,1.14489,1.51642,1.39432,0.58457,0.38252,0.40208,0.23201,1.73548,2.6564,1.7114,0.0004765,0.0004765,0.0004765
14,560.166,1.10495,1.4476,1.36031,0.55794,0.37011,0.35819,0.20447,1.80543,2.91315,1.82598,0.000464125,0.000464125,0.000464125
15,746.462,1.09288,1.416,1.36206,0.51383,0.37567,0.37288,0.21181,1.7658,2.80344,1.77058,0.00045175,0.00045175,0.00045175
16,915.501,1.08663,1.34959,1.34784,0.55935,0.35941,0.35736,0.20659,1.77983,2.94174,1.77675,0.000439375,0.000439375,0.000439375
17,1077.15,1.07219,1.32165,1.32496,0.57283,0.38735,0.39767,0.23615,1.73798,2.63985,1.73949,0.000427,0.000427,0.000427
18,1244.17,1.0435,1.26663,1.31315,0.57829,0.39062,0.39674,0.23116,1.77429,2.69348,1.76519,0.000414625,0.000414625,0.000414625
19,1413.01,1.03146,1.21743,1.30386,0.58176,0.37691,0.38071,0.21796,1.79274,2.80926,1.77836,0.00040225,0.00040225,0.00040225
20,1582.62,0.99868,1.19905,1.29894,0.6302,0.36846,0.39084,0.23109,1.74031,2.85739,1.74323,0.000389875,0.000389875,0.000389875
21,1750.38,1.0064,1.1718,1.28928,0.64095,0.36999,0.40622,0.24058,1.69582,2.56613,1.67346,0.0003775,0.0003775,0.0003775
22,1917.16,0.99857,1.14362,1.27684,0.59248,0.36802,0.37696,0.21696,1.78881,2.92633,1.77493,0.000365125,0.000365125,0.000365125
23,2079.42,1.02764,1.17996,1.30651,0.6076,0.38297,0.40567,0.23473,1.73966,2.59873,1.72688,0.00035275,0.00035275,0.00035275
24,2374.89,1.02857,1.1777,1.30891,0.59528,0.39514,0.40952,0.24371,1.69609,2.59007,1.68599,0.000340375,0.000340375,0.000340375
25,2770.3,1.00227,1.14366,1.27976,0.59951,0.37425,0.38012,0.2256,1.76636,2.87697,1.76579,0.000328,0.000328,0.000328
26,3276.45,0.99544,1.12376,1.28386,0.61164,0.37592,0.40464,0.23814,1.74169,2.63787,1.7396,0.000315625,0.000315625,0.000315625
27,3807.3,0.98595,1.07755,1.26504,0.61391,0.37142,0.38648,0.22835,1.71207,2.69498,1.72013,0.00030325,0.00030325,0.00030325
28,4298.92,0.98824,1.07504,1.26075,0.63401,0.39279,0.41866,0.25271,1.68908,2.66227,1.69224,0.000290875,0.000290875,0.000290875
29,4839.8,0.96391,1.05342,1.24882,0.63939,0.37326,0.40512,0.24072,1.729,2.76465,1.73753,0.0002785,0.0002785,0.0002785
30,5086.36,0.96477,1.02683,1.24886,0.62512,0.3911,0.4075,0.24615,1.70731,2.67857,1.69627,0.000266125,0.000266125,0.000266125
31,5284.74,0.94532,0.99912,1.24289,0.66115,0.40516,0.43404,0.26537,1.68589,2.65464,1.69181,0.00025375,0.00025375,0.00025375
32,5459.51,0.9536,0.98676,1.2372,0.62164,0.38973,0.40266,0.23807,1.74404,2.89414,1.74407,0.000241375,0.000241375,0.000241375
33,5625.33,0.92692,0.94385,1.22134,0.67724,0.38818,0.42677,0.25643,1.71923,2.72327,1.71697,0.000229,0.000229,0.000229
34,5812.38,0.92646,0.94096,1.22087,0.6705,0.3997,0.44061,0.26663,1.68056,2.57724,1.69058,0.000216625,0.000216625,0.000216625
35,6008.34,0.92499,0.93723,1.22742,0.66755,0.38085,0.4211,0.25136,1.72777,2.75452,1.74483,0.00020425,0.00020425,0.00020425
36,6167.55,0.89135,0.89167,1.20145,0.63705,0.39997,0.42861,0.2571,1.69253,2.57031,1.69694,0.000191875,0.000191875,0.000191875
37,6332.52,0.88914,0.89312,1.20398,0.64874,0.39571,0.41314,0.25128,1.70688,2.82472,1.7115,0.0001795,0.0001795,0.0001795
38,6496.27,0.88972,0.88041,1.19108,0.68366,0.39719,0.43259,0.2635,1.67882,2.69805,1.67926,0.000167125,0.000167125,0.000167125
39,6662.72,0.86734,0.84999,1.18097,0.70053,0.39091,0.43426,0.26475,1.68784,2.70047,1.69238,0.00015475,0.00015475,0.00015475
40,6829.33,0.86993,0.81794,1.18418,0.64373,0.39668,0.42391,0.26165,1.6767,2.71907,1.69239,0.000142375,0.000142375,0.000142375
41,7022.99,0.77756,0.61441,1.13716,0.65713,0.4086,0.43877,0.26374,1.67727,2.56956,1.68038,0.00013,0.00013,0.00013
42,7183.59,0.74674,0.55144,1.11435,0.65001,0.39627,0.4214,0.25873,1.69137,2.68832,1.71714,0.000117625,0.000117625,0.000117625
43,7345.5,0.73011,0.53545,1.10823,0.63245,0.40426,0.42372,0.25639,1.69005,2.68997,1.70555,0.00010525,0.00010525,0.00010525
44,7507.25,0.71843,0.50502,1.08684,0.63593,0.40323,0.42116,0.25479,1.70158,2.72352,1.72281,9.2875e-05,9.2875e-05,9.2875e-05
45,7666.16,0.70338,0.49819,1.08471,0.63931,0.40862,0.42434,0.25467,1.70654,2.75012,1.7228,8.05e-05,8.05e-05,8.05e-05
46,7826.18,0.69231,0.4974,1.07982,0.65995,0.40654,0.42998,0.26164,1.68178,2.6657,1.70359,6.8125e-05,6.8125e-05,6.8125e-05
47,7982.86,0.68041,0.47052,1.06604,0.64125,0.40956,0.43195,0.26306,1.68465,2.67565,1.70557,5.575e-05,5.575e-05,5.575e-05
48,8140.2,0.67711,0.45837,1.06625,0.67378,0.39923,0.43037,0.26467,1.6866,2.68656,1.70573,4.3375e-05,4.3375e-05,4.3375e-05
49,18013.8,0.66116,0.44719,1.05736,0.66228,0.40445,0.42695,0.26088,1.69956,2.73768,1.72136,3.1e-05,3.1e-05,3.1e-05
50,18112.5,0.66383,0.44562,1.05517,0.65814,0.40482,0.42584,0.26145,1.69102,2.72304,1.71679,1.8625e-05,1.8625e-05,1.8625e-05
