epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.47,3.0959,5.20416,4.17947,0.0009,0.13892,0.0003,6e-05,3.33441,5.07133,4.20395,0.000207968,0.000207968,0.000207968
2,330.045,3.01186,5.03258,3.813,0.00154,0.16934,0.00104,0.00024,3.1666,4.93528,3.67748,0.000411149,0.000411149,0.000411149
3,495.57,2.8124,4.81744,3.41111,0.00276,0.1969,0.00213,0.00054,3.05936,4.86816,3.39904,0.000609175,0.000609175,0.000609175
4,759.168,2.58679,4.63797,3.17352,0.00298,0.2527,0.00475,0.00136,2.83124,4.72365,3.28696,0.000601797,0.000601797,0.000601797
5,943.024,2.3789,4.50554,3.00864,0.00327,0.28826,0.00372,0.00089,2.83157,4.73773,3.28576,0.000594062,0.000594062,0.000594062
6,1128.71,2.31228,4.3915,2.89988,0.00426,0.29103,0.00301,0.00082,2.73579,4.6743,3.17702,0.000586328,0.000586328,0.000586328
7,1314.74,2.23501,4.27154,2.80482,0.00449,0.30897,0.00592,0.00154,2.71819,4.59247,3.17336,0.000578594,0.000578594,0.000578594
8,1501.77,2.15942,4.13167,2.73146,0.00551,0.36372,0.01006,0.00308,2.60316,4.45401,3.03251,0.000570859,0.000570859,0.000570859
9,1751.69,2.11745,3.98511,2.66383,0.10398,0.13678,0.0145,0.00407,2.56899,4.4575,3.03671,0.000563125,0.000563125,0.000563125
10,1927.66,2.09155,3.91971,2.6276,0.45764,0.04327,0.01811,0.00564,2.51329,4.27327,2.9395,0.000555391,0.000555391,0.000555391
11,2176.7,2.04469,3.83574,2.57193,0.33696,0.04649,0.01703,0.0055,2.53093,4.32167,2.97367,0.000547656,0.000547656,0.000547656
12,2353.89,1.99875,3.72495,2.53905,0.15682,0.07148,0.02343,0.00801,2.44972,4.0576,2.87253,0.000539922,0.000539922,0.000539922
13,2521.97,1.9424,3.60317,2.48481,0.17788,0.07695,0.02892,0.01108,2.44419,4.16967,2.87115,0.000532187,0.000532187,0.000532187
14,2764.73,1.9281,3.57344,2.45567,0.20666,0.0419,0.03045,0.01109,2.43397,4.15341,2.85015,0.000524453,0.000524453,0.000524453
15,2930.6,1.9029,3.50398,2.42661,0.1239,0.0833,0.03826,0.01461,2.41088,4.03621,2.83309,0.000516719,0.000516719,0.000516719
16,3102.74,1.89036,3.42448,2.41224,0.21859,0.09039,0.04527,0.01878,2.32705,3.98867,2.7558,0.000508984,0.000508984,0.000508984
17,3275.25,1.85855,3.38594,2.38162,0.21872,0.09899,0.04516,0.0179,2.33047,3.95279,2.76514,0.00050125,0.00050125,0.00050125
18,3449.71,1.83035,3.31796,2.36404,0.21749,0.12042,0.04194,0.01596,2.37976,4.06269,2.8095,0.000493516,0.000493516,0.000493516
19,3624.82,1.81076,3.24939,2.33251,0.23551,0.11322,0.05344,0.02262,2.32031,3.9167,2.74259,0.000485781,0.000485781,0.000485781
20,3798.72,1.78607,3.22813,2.31997,0.22989,0.10087,0.05389,0.02253,2.2979,3.94644,2.75438,0.000478047,0.000478047,0.000478047
21,3978.34,1.77956,3.22853,2.30513,0.24442,0.11191,0.05378,0.02123,2.3415,3.8841,2.76873,0.000470312,0.000470312,0.000470312
22,4155.4,1.75671,3.15084,2.28965,0.25522,0.11383,0.0578,0.02547,2.29771,3.9847,2.74711,0.000462578,0.000462578,0.000462578
23,4335.54,1.73179,3.13355,2.2594,0.17116,0.11724,0.05961,0.02477,2.32753,3.89822,2.73695,0.000454844,0.000454844,0.000454844
24,4513.11,1.73649,3.09024,2.24781,0.27029,0.12466,0.06894,0.02971,2.27165,3.88262,2.69539,0.000447109,0.000447109,0.000447109
25,4690.35,1.71337,3.06852,2.2356,0.25057,0.12334,0.05994,0.02539,2.31643,3.87127,2.73839,0.000439375,0.000439375,0.000439375
26,4870.95,1.6979,3.00185,2.22013,0.2732,0.13262,0.07764,0.03451,2.27235,3.72608,2.6618,0.000431641,0.000431641,0.000431641
27,5054.3,1.67175,2.9679,2.19586,0.26018,0.13041,0.06777,0.0304,2.30689,3.90983,2.72916,0.000423906,0.000423906,0.000423906
28,5382.23,1.67174,2.96922,2.18529,0.19567,0.1391,0.07321,0.03244,2.27106,3.80125,2.6666,0.000416172,0.000416172,0.000416172
29,5835.24,1.67345,2.9525,2.1852,0.17815,0.1339,0.07469,0.03429,2.27614,3.96095,2.71714,0.000408438,0.000408438,0.000408438
30,6312.39,1.64453,2.89859,2.16121,0.22369,0.13146,0.07791,0.03499,2.2643,3.99579,2.69809,0.000400703,0.000400703,0.000400703
31,569.491,1.64617,2.8737,2.16405,0.21718,0.14941,0.08189,0.03612,2.24913,3.87765,2.64959,0.000392969,0.000392969,0.000392969
32,1165.72,1.65165,2.85348,2.14594,0.20996,0.14804,0.08313,0.03834,2.21778,3.88179,2.63376,0.000385234,0.000385234,0.000385234
33,1754.57,1.64296,2.86372,2.13953,0.20078,0.15246,0.08611,0.03974,2.27035,3.91198,2.67873,0.0003775,0.0003775,0.0003775
34,2064.29,1.61627,2.80995,2.13942,0.2166,0.15101,0.08679,0.03924,2.24075,3.8267,2.67231,0.000369766,0.000369766,0.000369766
35,2233.41,1.61664,2.79154,2.14918,0.22214,0.16246,0.09799,0.04486,2.2333,3.70239,2.66574,0.000362031,0.000362031,0.000362031
36,2407.18,1.61886,2.77083,2.13579,0.22132,0.1752,0.10453,0.04883,2.18205,3.72087,2.61784,0.000354297,0.000354297,0.000354297
37,2581.67,1.57993,2.7521,2.10593,0.31041,0.16053,0.1045,0.04735,2.21882,3.67038,2.63058,0.000346563,0.000346563,0.000346563
38,2755.32,1.56448,2.6696,2.07356,0.24007,0.16979,0.11207,0.05366,2.19424,3.68288,2.59204,0.000338828,0.000338828,0.000338828
39,2929.35,1.57204,2.70102,2.1012,0.26407,0.16311,0.10739,0.04803,2.24224,3.76497,2.65482,0.000331094,0.000331094,0.000331094
40,3106.16,1.55414,2.65128,2.0756,0.27306,0.16913,0.11717,0.05314,2.21644,3.744,2.63342,0.000323359,0.000323359,0.000323359
41,3282.47,1.56904,2.6883,2.08635,0.22481,0.16553,0.09659,0.0444,2.2353,3.87686,2.64726,0.000315625,0.000315625,0.000315625
42,3456.32,1.52053,2.6349,2.05825,0.27704,0.17906,0.12478,0.05901,2.1843,3.68871,2.59715,0.000307891,0.000307891,0.000307891
43,3629.21,1.50848,2.57304,2.02779,0.24018,0.18677,0.11656,0.05317,2.22558,3.707,2.63978,0.000300156,0.000300156,0.000300156
44,3805.14,1.53966,2.60813,2.05823,0.29298,0.18458,0.12422,0.0597,2.20569,3.65821,2.61773,0.000292422,0.000292422,0.000292422
45,3980.44,1.53294,2.61921,2.05914,0.26756,0.19027,0.12291,0.05989,2.18659,3.62121,2.59887,0.000284688,0.000284688,0.000284688
46,4152.23,1.53595,2.57322,2.05858,0.27643,0.1911,0.12532,0.06029,2.18336,3.68276,2.59255,0.000276953,0.000276953,0.000276953
47,4327,1.52454,2.56777,2.0385,0.26237,0.18854,0.12287,0.05978,2.19166,3.67227,2.60294,0.000269219,0.000269219,0.000269219
48,4501.22,1.4907,2.51408,2.01914,0.26493,0.18552,0.12056,0.05688,2.20198,3.76079,2.629,0.000261484,0.000261484,0.000261484
49,4681.95,1.49571,2.50209,2.01991,0.2631,0.19345,0.13264,0.06338,2.16902,3.65111,2.59616,0.00025375,0.00025375,0.00025375
50,4859.61,1.48304,2.49897,2.00803,0.27599,0.1926,0.13349,0.06429,2.18319,3.69705,2.61378,0.000246016,0.000246016,0.000246016
51,5033.56,1.48778,2.49539,2.00692,0.2742,0.18536,0.12817,0.06118,2.20256,3.67444,2.61783,0.000238281,0.000238281,0.000238281
52,5212.39,1.48734,2.47859,2.00987,0.30359,0.19558,0.13604,0.06437,2.18698,3.6136,2.61851,0.000230547,0.000230547,0.000230547
53,5384.49,1.45936,2.45611,1.98186,0.27252,0.19895,0.13779,0.06902,2.15932,3.61266,2.57615,0.000222813,0.000222813,0.000222813
54,5552.95,1.46038,2.43308,1.98156,0.28895,0.20051,0.13948,0.06847,2.20206,3.62973,2.62653,0.000215078,0.000215078,0.000215078
55,5719.53,1.46073,2.4376,1.98454,0.28325,0.20486,0.14046,0.06736,2.18943,3.6349,2.60836,0.000207344,0.000207344,0.000207344
56,5889.39,1.44308,2.37002,1.96058,0.27811,0.21512,0.14891,0.07401,2.16998,3.56671,2.56525,0.000199609,0.000199609,0.000199609
57,6060.06,1.41981,2.35136,1.95024,0.31385,0.20215,0.14199,0.06995,2.204,3.66688,2.60609,0.000191875,0.000191875,0.000191875
58,6233.71,1.44364,2.36386,1.9613,0.28834,0.19745,0.14178,0.0679,2.19802,3.63099,2.59671,0.000184141,0.000184141,0.000184141
59,6405.75,1.44464,2.36681,1.95228,0.2934,0.21759,0.15314,0.07494,2.16809,3.63581,2.57329,0.000176406,0.000176406,0.000176406
60,6575.27,1.41911,2.30327,1.93167,0.28893,0.20928,0.15344,0.07762,2.15577,3.62091,2.56113,0.000168672,0.000168672,0.000168672
61,6745.61,1.43698,2.38422,1.96293,0.29519,0.2156,0.15562,0.07818,2.16635,3.58521,2.57644,0.000160938,0.000160938,0.000160938
62,6915.79,1.4299,2.30961,1.95456,0.3247,0.21268,0.16388,0.08162,2.12429,3.54336,2.53725,0.000153203,0.000153203,0.000153203
63,7086.77,1.42304,2.33052,1.94339,0.3248,0.21977,0.16343,0.08321,2.12074,3.50942,2.52449,0.000145469,0.000145469,0.000145469
64,7258,1.44377,2.35833,1.97033,0.31153,0.21877,0.15856,0.08134,2.14755,3.60101,2.54703,0.000137734,0.000137734,0.000137734
65,7508.4,1.40261,2.30078,1.91868,0.32819,0.21193,0.16466,0.08379,2.13472,3.51453,2.53708,0.00013,0.00013,0.00013
66,7887.85,1.41874,2.30792,1.93485,0.30927,0.2203,0.16416,0.0822,2.17062,3.61477,2.57829,0.000122266,0.000122266,0.000122266
67,8306.5,1.41445,2.29815,1.94757,0.32105,0.22252,0.16377,0.08056,2.14826,3.55557,2.55706,0.000114531,0.000114531,0.000114531
68,8798.48,1.41033,2.26335,1.93693,0.31663,0.20986,0.15941,0.07746,2.15208,3.59368,2.55386,0.000106797,0.000106797,0.000106797
69,9354.06,1.40853,2.23805,1.92187,0.3336,0.21542,0.16749,0.08492,2.12726,3.49595,2.53159,9.90625e-05,9.90625e-05,9.90625e-05
70,9882.16,1.3955,2.27384,1.92646,0.32082,0.22309,0.16599,0.0837,2.13968,3.54945,2.55906,9.13281e-05,9.13281e-05,9.13281e-05
71,11538.4,1.24735,1.8032,1.83135,0.3054,0.22141,0.16558,0.08322,2.13603,3.50488,2.5733,8.35938e-05,8.35938e-05,8.35938e-05
72,12015.1,1.22583,1.74628,1.80934,0.31087,0.22704,0.1677,0.08496,2.14482,3.53815,2.57098,7.58594e-05,7.58594e-05,7.58594e-05
73,12280,1.21541,1.7064,1.78257,0.32633,0.22924,0.17339,0.08951,2.13254,3.54432,2.54473,6.8125e-05,6.8125e-05,6.8125e-05
74,180.649,1.20945,1.67067,1.77952,0.31367,0.22907,0.17278,0.08691,2.15078,3.57465,2.57368,6.03906e-05,6.03906e-05,6.03906e-05
75,369.886,1.20078,1.67087,1.77984,0.32786,0.22172,0.16704,0.08442,2.14833,3.58842,2.58112,5.26562e-05,5.26562e-05,5.26562e-05
76,554.421,1.20268,1.63285,1.7754,0.31875,0.2325,0.17098,0.08808,2.13353,3.56513,2.56124,4.49219e-05,4.49219e-05,4.49219e-05
77,737.587,1.18279,1.63531,1.75667,0.34519,0.22625,0.17224,0.08895,2.1415,3.57696,2.57028,3.71875e-05,3.71875e-05,3.71875e-05
