epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,719.558,1.29462,3.92447,1.53623,0.41827,0.2753,0.25856,0.13882,1.76597,3.36898,1.77687,0.000207968,0.000207968,0.000207968
2,1075.47,1.38599,2.81048,1.63327,0.37185,0.32101,0.26611,0.13985,1.75074,3.02518,1.76073,0.000402563,0.000402563,0.000402563
3,1264.5,1.4208,2.58265,1.64296,0.37159,0.2971,0.24109,0.118,1.8779,3.10477,1.81694,0.000583409,0.000583409,0.000583409
4,1453.51,1.37898,2.42373,1.59344,0.35997,0.3108,0.25433,0.13903,1.79574,3.35294,1.8109,0.000563125,0.000563125,0.000563125
5,1644.94,1.36118,2.30003,1.58958,0.40415,0.32984,0.30045,0.15624,1.80601,2.97859,1.82458,0.0005425,0.0005425,0.0005425
6,1834.59,1.32432,2.14751,1.55007,0.42761,0.34413,0.30681,0.16471,1.78186,2.71091,1.79109,0.000521875,0.000521875,0.000521875
7,2025.96,1.28082,2.0404,1.51674,0.44643,0.33351,0.30371,0.16677,1.7821,2.90096,1.80267,0.00050125,0.00050125,0.00050125
8,2214.03,1.26917,1.94929,1.50175,0.53363,0.32791,0.31884,0.17656,1.81152,2.79446,1.82017,0.000480625,0.000480625,0.000480625
9,2402.69,1.24953,1.91226,1.4936,0.55689,0.35142,0.35951,0.20689,1.71178,2.6439,1.7355,0.00046,0.00046,0.00046
10,2585.32,1.2361,1.79022,1.46813,0.56468,0.36054,0.37469,0.20805,1.7295,2.64716,1.7581,0.000439375,0.000439375,0.000439375
11,2770.29,1.2046,1.73486,1.45305,0.5804,0.33961,0.36722,0.21389,1.73481,2.64965,1.73594,0.00041875,0.00041875,0.00041875
12,2952.42,1.18776,1.6735,1.43104,0.57207,0.35207,0.37765,0.22112,1.70312,2.67373,1.74442,0.000398125,0.000398125,0.000398125
13,3136.45,1.15098,1.60816,1.40137,0.54549,0.37785,0.37993,0.21992,1.72625,2.63569,1.73357,0.0003775,0.0003775,0.0003775
14,3320.59,1.14742,1.58412,1.3962,0.60666,0.36847,0.38871,0.22556,1.72078,2.5839,1.72277,0.000356875,0.000356875,0.000356875
15,3507.26,1.12951,1.49925,1.38373,0.60175,0.36721,0.38675,0.22394,1.71317,2.66986,1.73197,0.00033625,0.00033625,0.00033625
16,3691.92,1.12075,1.47255,1.37611,0.58915,0.38249,0.39921,0.23258,1.69388,2.56631,1.71197,0.000315625,0.000315625,0.000315625
17,3875.65,1.09525,1.44961,1.36724,0.62417,0.39207,0.41508,0.24657,1.66699,2.45688,1.66669,0.000295,0.000295,0.000295
18,4062.22,1.08441,1.37357,1.34871,0.59557,0.40769,0.4147,0.24136,1.67667,2.48314,1.7031,0.000274375,0.000274375,0.000274375
19,4246.02,1.07268,1.32102,1.34165,0.59467,0.392,0.40597,0.24215,1.66725,2.53421,1.67714,0.00025375,0.00025375,0.00025375
20,4430.71,1.04181,1.29175,1.31231,0.62625,0.39301,0.4223,0.25429,1.62724,2.48726,1.63854,0.000233125,0.000233125,0.000233125
21,4620.83,0.97104,1.07476,1.3042,0.61948,0.38469,0.41224,0.24707,1.65014,2.4553,1.67194,0.0002125,0.0002125,0.0002125
22,4804.6,0.94095,0.97317,1.27766,0.60843,0.41126,0.42339,0.25583,1.64114,2.42629,1.66259,0.000191875,0.000191875,0.000191875
23,4985.94,0.91094,0.92642,1.25374,0.64338,0.39099,0.42888,0.25439,1.65395,2.45177,1.6655,0.00017125,0.00017125,0.00017125
24,5168.96,0.89986,0.8725,1.24012,0.60271,0.3987,0.41291,0.25087,1.65447,2.48843,1.67321,0.000150625,0.000150625,0.000150625
25,5351.88,0.87594,0.81751,1.23133,0.65291,0.38809,0.42033,0.25152,1.65214,2.51262,1.67938,0.00013,0.00013,0.00013
26,5538.27,0.8612,0.77875,1.20927,0.64774,0.38646,0.42077,0.25654,1.65146,2.48248,1.68533,0.000109375,0.000109375,0.000109375
27,5721.04,0.83635,0.76019,1.19356,0.61968,0.41247,0.43288,0.26268,1.63478,2.45997,1.67047,8.875e-05,8.875e-05,8.875e-05
28,5903.87,0.81706,0.71055,1.16837,0.66612,0.39767,0.43012,0.26186,1.62176,2.46931,1.66291,6.8125e-05,6.8125e-05,6.8125e-05
29,6090.34,0.81221,0.69894,1.15902,0.62793,0.40833,0.43287,0.26466,1.6232,2.46468,1.66352,4.75e-05,4.75e-05,4.75e-05
30,6274.16,0.78597,0.67907,1.15074,0.634,0.41639,0.4343,0.26594,1.62416,2.48725,1.6615,2.6875e-05,2.6875e-05,2.6875e-05
