epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.262,1.44284,2.532,1.67225,0.44409,0.35806,0.31864,0.17726,1.71321,2.51643,1.7417,0.000208151,0.000208151,0.000208151
2,840.47,1.52331,2.39783,1.75087,0.35784,0.23739,0.19446,0.09027,2.04917,2.97177,2.05717,0.00040274,0.00040274,0.00040274
3,1273.99,1.56592,2.52085,1.78204,0.30706,0.23754,0.16894,0.08028,2.02522,3.1479,2.08072,0.000583579,0.000583579,0.000583579
4,2011.61,1.57542,2.54035,1.79099,0.32288,0.26136,0.1993,0.09715,1.99209,3.11993,2.03767,0.000563125,0.000563125,0.000563125
5,3103.79,1.52673,2.44194,1.74829,0.27528,0.25457,0.18841,0.09548,2.00094,3.09031,2.06942,0.0005425,0.0005425,0.0005425
6,4252.21,1.4458,2.29405,1.6975,0.33524,0.25774,0.21445,0.11299,1.9713,3.10112,2.06042,0.000521875,0.000521875,0.000521875
7,4797.94,1.42217,2.18506,1.65996,0.40582,0.29082,0.26231,0.13956,1.89335,2.92406,1.94855,0.00050125,0.00050125,0.00050125
8,5225.74,1.38859,2.07754,1.6217,0.37153,0.26814,0.23924,0.12668,1.88758,2.9602,1.92709,0.000480625,0.000480625,0.000480625
9,5651.21,1.38348,2.02149,1.63514,0.37833,0.29225,0.25244,0.13651,1.89514,2.92174,1.96765,0.00046,0.00046,0.00046
10,6085.32,1.33672,1.92943,1.59292,0.46495,0.30457,0.29398,0.1625,1.87466,2.82439,1.93191,0.000439375,0.000439375,0.000439375
11,6518.18,1.32615,1.85485,1.57236,0.44085,0.32295,0.29392,0.15947,1.85512,2.74275,1.90322,0.00041875,0.00041875,0.00041875
12,429.773,1.28315,1.74341,1.55681,0.49493,0.29804,0.29832,0.16459,1.8852,2.92325,1.91045,0.000398125,0.000398125,0.000398125
13,899.458,1.29664,1.70598,1.5503,0.50226,0.31412,0.32059,0.17834,1.8537,2.83332,1.87903,0.0003775,0.0003775,0.0003775
14,1761.53,1.2183,1.64545,1.49191,0.49038,0.32022,0.31839,0.17472,1.84494,2.7896,1.91191,0.000356875,0.000356875,0.000356875
15,2794.66,1.19556,1.5702,1.47816,0.5238,0.33296,0.32313,0.17541,1.79471,2.69377,1.88515,0.00033625,0.00033625,0.00033625
16,420.321,1.11278,1.37082,1.42398,0.52471,0.36556,0.35585,0.20515,1.77188,2.74671,1.82331,0.000315625,0.000315625,0.000315625
17,852.409,1.09553,1.28648,1.39872,0.55429,0.34854,0.34924,0.19729,1.79389,2.82521,1.84835,0.000295,0.000295,0.000295
18,1288.89,1.03313,1.22952,1.35644,0.53227,0.36614,0.35448,0.19955,1.77676,2.72061,1.84485,0.000274375,0.000274375,0.000274375
19,1718.38,1.03627,1.20749,1.35849,0.57263,0.3784,0.37125,0.21109,1.73717,2.6641,1.82785,0.00025375,0.00025375,0.00025375
20,2148.37,1.13214,1.35708,1.43678,0.58725,0.37068,0.38045,0.21785,1.73343,2.60564,1.82138,0.000233125,0.000233125,0.000233125
21,2581.94,1.07674,1.03244,1.40761,0.5946,0.35135,0.37133,0.21576,1.73127,2.62272,1.80106,0.0002125,0.0002125,0.0002125
22,3856,1.03001,0.93375,1.37366,0.58617,0.34201,0.3517,0.20631,1.75126,2.81181,1.82317,0.000191875,0.000191875,0.000191875
23,4779.56,0.99336,0.87479,1.34563,0.58778,0.37576,0.38768,0.22818,1.69944,2.60551,1.79381,0.00017125,0.00017125,0.00017125
24,5763.31,0.95746,0.8315,1.31227,0.56284,0.37406,0.36916,0.21459,1.73846,2.74696,1.82496,0.000150625,0.000150625,0.000150625
25,6408.29,0.94681,0.8002,1.31663,0.61688,0.37136,0.39622,0.23382,1.6814,2.64571,1.76145,0.00013,0.00013,0.00013
26,7424.85,0.91078,0.74752,1.27419,0.6237,0.37134,0.38713,0.2314,1.6881,2.7329,1.78069,0.000109375,0.000109375,0.000109375
27,7874.42,0.8879,0.69176,1.2583,0.59635,0.37738,0.38761,0.22818,1.70124,2.76731,1.80486,8.875e-05,8.875e-05,8.875e-05
28,8338.27,0.86743,0.65023,1.23692,0.6014,0.38634,0.40223,0.24022,1.66901,2.71672,1.76238,6.8125e-05,6.8125e-05,6.8125e-05
29,8793.65,0.85781,0.63711,1.23181,0.58877,0.39306,0.40519,0.23891,1.68408,2.69871,1.77896,4.75e-05,4.75e-05,4.75e-05
30,9225.66,0.83422,0.61536,1.20319,0.60101,0.39494,0.4047,0.24297,1.66813,2.68574,1.76994,2.6875e-05,2.6875e-05,2.6875e-05
