epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.666,1.29825,3.92948,1.53922,0.59675,0.47995,0.48238,0.28521,1.41691,2.87189,1.73789,0.000207968,0.000207968,0.000207968
2,457.572,1.37499,2.76461,1.60948,0.48279,0.50889,0.50172,0.29437,1.41845,2.84454,1.71022,0.000402563,0.000402563,0.000402563
3,628.46,1.41447,2.56241,1.63277,0.54622,0.4772,0.50926,0.30845,1.41101,2.34825,1.74372,0.000583409,0.000583409,0.000583409
4,798.648,1.40035,2.46336,1.60539,0.57979,0.56441,0.55252,0.35235,1.28994,2.31833,1.61012,0.000563125,0.000563125,0.000563125
5,971.463,1.36361,2.29301,1.58305,0.57343,0.52587,0.55223,0.33808,1.37257,2.1122,1.68641,0.0005425,0.0005425,0.0005425
6,1146.43,1.34827,2.18218,1.5792,0.56771,0.57613,0.58506,0.37354,1.28209,2.05154,1.57228,0.000521875,0.000521875,0.000521875
7,1321.38,1.30641,2.07476,1.52578,0.60838,0.61066,0.62524,0.40047,1.28761,1.84852,1.5807,0.00050125,0.00050125,0.00050125
8,1497.38,1.26325,1.9423,1.48998,0.64044,0.67978,0.68968,0.44633,1.26657,1.6897,1.5611,0.000480625,0.000480625,0.000480625
9,1671.34,1.27522,1.942,1.49592,0.64176,0.61488,0.66381,0.44944,1.19443,1.62337,1.48283,0.00046,0.00046,0.00046
10,1847.45,1.22626,1.82347,1.46751,0.65677,0.67141,0.71791,0.47529,1.1573,1.49157,1.47183,0.000439375,0.000439375,0.000439375
11,2029.92,1.19681,1.74281,1.44164,0.69386,0.66165,0.71174,0.48199,1.17372,1.51085,1.46111,0.00041875,0.00041875,0.00041875
12,2211.26,1.19588,1.66528,1.43359,0.715,0.67196,0.73973,0.50056,1.16526,1.39,1.47083,0.000398125,0.000398125,0.000398125
13,2390.54,1.15475,1.60542,1.40457,0.72638,0.67717,0.77536,0.52017,1.16443,1.32831,1.46417,0.0003775,0.0003775,0.0003775
14,2570.44,1.14848,1.56511,1.39724,0.74311,0.73181,0.78472,0.53531,1.16349,1.27698,1.45129,0.000356875,0.000356875,0.000356875
15,2750.88,1.1294,1.50294,1.37775,0.75069,0.7153,0.79969,0.5434,1.15704,1.19436,1.45153,0.00033625,0.00033625,0.00033625
16,2931.91,1.12386,1.46927,1.3818,0.77297,0.69912,0.7829,0.53639,1.13499,1.25354,1.43209,0.000315625,0.000315625,0.000315625
17,3112.67,1.09476,1.45023,1.35773,0.82303,0.74246,0.82045,0.56521,1.14102,1.16875,1.42199,0.000295,0.000295,0.000295
18,3292.94,1.09123,1.37163,1.35286,0.75926,0.72161,0.79258,0.54423,1.11405,1.13528,1.40854,0.000274375,0.000274375,0.000274375
19,3473.52,1.06356,1.35407,1.33999,0.80058,0.7224,0.813,0.56356,1.09414,1.12022,1.40052,0.00025375,0.00025375,0.00025375
20,3651.89,1.04916,1.30392,1.31777,0.80713,0.73128,0.83578,0.58915,1.08039,1.04101,1.37304,0.000233125,0.000233125,0.000233125
21,3834.95,0.96776,1.08624,1.29511,0.81738,0.75545,0.83326,0.58762,1.06602,1.09626,1.385,0.0002125,0.0002125,0.0002125
22,4013.9,0.94825,0.96867,1.27783,0.79014,0.75768,0.81995,0.57678,1.06443,1.05732,1.37188,0.000191875,0.000191875,0.000191875
23,4196.92,0.90703,0.93246,1.25224,0.79677,0.78138,0.84037,0.59097,1.04664,1.02482,1.35118,0.00017125,0.00017125,0.00017125
24,4376.07,0.88877,0.86268,1.23506,0.84734,0.72971,0.84312,0.59163,1.04727,1.00816,1.35115,0.000150625,0.000150625,0.000150625
25,4552.39,0.87513,0.82107,1.23051,0.84792,0.75966,0.85454,0.6022,1.05446,1.01343,1.37109,0.00013,0.00013,0.00013
26,4953.94,0.85609,0.7911,1.19558,0.8026,0.78753,0.85679,0.60371,1.03334,0.97955,1.34468,0.000109375,0.000109375,0.000109375
27,5444.36,0.84867,0.76659,1.19948,0.82129,0.80359,0.8656,0.61743,1.04174,0.9435,1.34182,8.875e-05,8.875e-05,8.875e-05
28,6029.2,0.81057,0.7392,1.16154,0.86405,0.79395,0.87103,0.61956,1.03753,0.91783,1.34388,6.8125e-05,6.8125e-05,6.8125e-05
29,6603.85,0.81246,0.72316,1.16476,0.89097,0.77056,0.88173,0.62817,1.03056,0.89924,1.34336,4.75e-05,4.75e-05,4.75e-05
30,7151.73,0.78401,0.68683,1.14828,0.86837,0.79697,0.88336,0.63668,1.02652,0.90331,1.33285,2.6875e-05,2.6875e-05,2.6875e-05
